Nr.|Codice Fiscale|Importo contributo
364|97567770587|4851.2
365|97566900011|4566.4
366|97566360588|4764.8
367|97565060155|4412.8
368|97564400584|5232.0
369|97564280150|6934.4
370|97563040159|9760.0
371|97558180010|4608.0
372|97556610158|4694.4
373|97547850012|1936.0
374|97545690014|5408.0
375|97541250581|4444.8
376|97539310587|5267.2
377|97537280014|5347.2
378|97534800012|3696.0
379|97529690154|4704.0
380|97527040154|6832.0
381|97524360019|5766.4
382|97523770580|11091.2
383|97523430581|4470.4
384|97518000589|5254.4
385|97516930019|4566.4
386|97510630581|5203.2
387|97508840010|6745.6
388|97508720584|2640.0
389|97503710010|5507.2
390|97502610013|4771.2
391|97501460014|6620.8
392|97501320010|4707.2
393|97494650589|5750.4
394|97491520587|4470.4
395|97489580585|5129.6
396|97487790582|2024.0
397|97485700583|4617.6
398|97485010587|4598.4
399|97483080582|3168.0
400|97479610582|4672.0
401|97476770587|5078.4
402|97471190153|4576.0
403|97470420155|4883.2
404|97465800585|5212.8
405|97461410587|5264.0
406|97456450580|4438.4
407|97456300157|4649.6
408|97452640580|4592.0
409|97451020586|4400.0
410|97448840583|4662.4
411|97442220584|4403.2
412|97434880585|5020.8
413|97429530583|4665.6
414|97428940155|6857.6
415|97426210585|4438.4
416|97421590585|4556.8
417|97414890158|6224.0
418|97414090585|4620.8
419|97410380584|4486.4
420|97406770582|5529.6
421|97404790152|6844.8
422|97397760584|5196.8
423|97389070588|5529.6
424|97385370586|5280.0
425|97374150585|6953.6
426|97372380580|4697.6
427|97372370581|4780.8
428|97371500584|6640.0
429|97370570158|4508.8
430|97370110823|4425.6
431|97369610825|4563.2
432|97368640823|4576.0
433|97368610586|5212.8
434|97368420820|3872.0
435|97364640587|4457.6
436|97360290825|4588.8
437|97360240820|4508.8
438|97358010821|3872.0
439|97356200820|3784.0
440|97354960821|2904.0
441|97354480820|4662.4
442|97352700583|6419.2
443|97350620825|2112.0
444|97350250821|4608.0
445|97349940581|5036.8
446|97347350825|4624.0
447|97345810820|4403.2
448|97344760828|4422.4
449|97343830580|4633.6
450|97338530823|3168.0
451|97338440825|4505.6
452|97337910828|4460.8
453|97337550822|4528.0
454|97337290825|4716.8
455|97335660581|4787.2
456|97334550825|7916.8
457|97333910822|3960.0
458|97330290822|4761.6
459|97329230821|3872.0
460|97327370827|5792.0
461|97326680580|4457.6
462|97326020589|5731.2
463|97325050827|4777.6
464|97323910824|2816.0
465|97322660826|4403.2
466|97321240828|6144.0
467|97321110823|4790.4
468|97320990829|6304.0
469|97319450827|1760.0
470|97319270829|6275.2
471|97319190829|5315.2
472|97314090586|5036.8
473|97312000827|4467.2
474|97311710822|4704.0
475|97311600585|6950.4
476|97311420828|4553.6
477|97311410829|1936.0
478|97311210823|4675.2
479|97309140826|1848.0
480|97306420825|2552.0
481|97306330586|3256.0
482|97305210821|4617.6
483|97305180156|4422.4
484|97304260587|5366.4
485|97303840827|5670.4
486|97303840587|5686.4
487|97303650820|4425.6
488|97303000828|4720.0
489|97301480824|6563.2
490|97301370587|6540.8
491|97300670821|4444.8
492|97297700151|3872.0
493|97297380822|4784.0
494|97294410820|5833.6
495|97294060823|4416.0
496|97293360158|3784.0
497|97293040826|4720.0
498|97292800824|4633.6
499|97291090823|4579.2
500|97290170584|2640.0
501|97288620822|4630.4
502|97288510825|6640.0
503|97288070820|12780.8
504|97287880823|4828.8
505|97284220825|4224.0
506|97284080823|5251.2
507|97283440580|8848.0
508|97283110159|4867.2
509|97278590829|4713.6
510|97273430823|4576.0
511|97272750825|4409.6
512|97264460821|2640.0
513|97260370826|4136.0
514|97256710829|4784.0
515|97255530582|4832.0
516|97251310583|4611.2
517|97248640829|4531.2
518|97246570820|4627.2
519|97246120824|4521.6
520|97242690580|6188.8
521|97242550826|4419.2
522|97241790159|4707.2
523|97238670828|4710.4
524|97236570822|4572.8
525|97233770151|7814.4
526|97227890155|4793.6
527|97225180153|6156.8
528|97223170586|7158.4
529|97221700822|5158.4
530|97220660829|6358.4
531|97216240156|2552.0
532|97208400826|4588.8
533|97206430825|4528.0
534|97203400821|6521.6
535|97203040825|4960.0
536|97203030586|4704.0
537|97200650824|4646.4
538|97199180825|3344.0
539|97196450825|4630.4
540|97196170829|5382.4
541|97196010827|4595.2
542|97195400821|4601.6
543|97194550584|4995.2
544|97194100588|4729.6
545|97193560584|3608.0
546|97192930820|5081.6
547|97192900823|4588.8
548|97191510581|4915.2
549|97190530820|4505.6
550|97190010823|5244.8
551|97189800150|20307.2
552|97182030821|4592.0
553|97178080822|4492.8
554|97177610827|4649.6
555|97173220829|6873.6
556|97168190821|4048.0
557|97165330826|4547.2
558|97163050152|4944.0
559|97153800152|4752.0
560|97150100150|4870.4
561|97147920827|2552.0
562|97145530586|4566.4
563|97145410581|4460.8
564|97139110155|4681.6
565|97137790834|4614.4
566|97137360836|2112.0
567|97135630834|4604.8
568|97135470835|4473.6
569|97133720835|3608.0
570|97133670832|4710.4
571|97131930832|4537.6
572|97131850832|5129.6
573|97131800829|4902.4
574|97131730836|4136.0
575|97131610830|7347.2
576|97128990831|3608.0
577|97128570831|4553.6
578|97127980833|2992.0
579|97127670830|4048.0
580|97126350582|5392.0
581|97121970830|4544.0
582|97120900580|4812.8
583|97120180159|4627.2
584|97118370838|4566.4
585|97117600839|5056.0
586|97114940832|4579.2
587|97114560838|5129.6
588|97112200825|4448.0
589|97112190588|5708.8
590|97112140831|6080.0
591|97110700834|4400.0
592|97109180584|5065.6
593|97106880798|6969.6
594|97105360834|5062.4
595|97105110833|5059.2
596|97104980798|5888.0
597|97104970831|4684.8
598|97103090581|9750.4
599|97102990799|4451.2
600|97102710791|4502.4
601|97101630156|4902.4
602|97101320832|4483.2
603|97100460837|3432.0
604|97099180792|4768.0
605|97098370790|2992.0
606|97097710830|4508.8
607|97096880790|3608.0
608|97096860792|4483.2
609|97096650797|4979.2
610|97095030835|3872.0
611|97094950835|4592.0
612|97094350580|4652.8
613|97093390793|4592.0
614|97089380790|4224.0
615|97086840580|4857.6
616|97086320799|4224.0
617|97084920798|5187.2
618|97084870795|4569.6
619|97084040795|4908.8
620|97083600151|2200.0
621|97082220159|6854.4
622|97081860831|5302.4
623|97081040798|4556.8
624|97080430586|4822.4
625|97080370790|4729.6
626|97080260793|4312.0
627|97078490790|1848.0
628|97077960835|4425.6
629|97076070834|2728.0
630|97073620151|4550.4
631|97073300796|4512.0
632|97072900794|2904.0
633|97072900588|4787.2
634|97072140581|5043.2
635|97071870832|4048.0
636|97071750794|4531.2
637|97070480831|4550.4
638|97070460791|4950.4
639|97069180798|4547.2
640|97068390794|3168.0
641|97067220588|4668.8
642|97066500790|3520.0
643|97063280792|4438.4
644|97062910589|4460.8
645|97062870833|4828.8
646|97062580796|5030.4
647|97061470791|4582.4
648|97060850795|2112.0
649|97058830585|4531.2
650|97057930790|4774.4
651|97057010833|4595.2
652|97055970152|5260.8
653|97055050799|4764.8
654|97052230832|7888.0
655|97051870588|5548.8
656|97050580584|4662.4
657|97048680587|4636.8
658|97047820580|4502.4
659|97046880791|4915.2
660|97046750838|4531.2
661|97044260780|4921.6
662|97044200794|5155.2
663|97042890786|1936.0
664|97042180154|7142.4
665|97041870839|4448.0
666|97041650785|5088.0
667|97039750837|4838.4
668|97039680836|4713.6
669|97038860587|5814.4
670|97038360786|4470.4
671|97038010787|4528.0
672|97036690820|4540.8
673|97035930581|4806.4
674|97035830823|5225.6
675|97032920791|4652.8
676|97032490795|4633.6
677|97032300788|5094.4
678|97031900786|4048.0
679|97031800788|3696.0
680|97030270793|4560.0
681|97029340789|4521.6
682|97028810584|4604.8
683|97028380786|3432.0
684|97027350798|4464.0
685|97026450789|4790.4
686|97025820826|6012.8
687|97025310836|4544.0
688|97025140159|4918.4
689|97024290781|5177.6
690|97023930825|5449.6
691|97022640789|4940.8
692|97021880824|2992.0
693|97019790837|4438.4
694|97018320586|5152.0
695|97017880176|2992.0
696|97017220175|3256.0
697|97016110583|4400.0
698|97009910783|3344.0
699|97009680824|5561.6
700|97009360179|4435.2
701|97009090784|5196.8
702|97008920825|10089.6
703|97008240836|4992.0
704|97006650788|4707.2
705|97006290585|2288.0
706|97005910175|4873.6
707|97004850794|3432.0
708|97003890825|4412.8
709|97003800170|4441.6
710|97003790652|3608.0
711|97003780174|4540.8
712|97000220836|3872.0
713|96546620582|4736.0
714|96546530583|4588.8
715|96544460585|4656.0
716|96544110586|4547.2
717|96540430582|4419.2
718|96539930584|4403.2
719|96536720582|4473.6
720|96534980584|5120.0
721|96534210586|2112.0
722|96529940585|4416.0
723|96525250583|5004.8
724|96524140587|4710.4
725|96521790582|4601.6
726|96520850585|4540.8
727|96517310585|5238.4
728|96515140588|5724.8
729|96508050588|2464.0
730|96501420580|4412.8
731|96497420586|4860.8
732|96491970586|4681.6
733|96486640582|3256.0
734|96482920582|4729.6
735|96482730585|4448.0
736|96481980587|4136.0
737|96478270588|4707.2
738|96462160589|2200.0
739|96461190587|5235.2
740|96460450586|4518.4
741|96459990584|4524.8
742|96459190581|4640.0
743|96456920584|4441.6
744|96456720588|4048.0
745|96456620580|4873.6
746|96453990580|4136.0
747|96453810580|4582.4
748|96453270587|4473.6
749|96452330580|4944.0
750|96451730582|4777.6
751|96451670580|4576.0
752|96445070582|5238.4
753|96439850585|3432.0
754|96438390583|9699.2
755|96436130585|4435.2
756|96435770589|4886.4
757|96433190582|2552.0
758|96432830584|4518.4
759|96429430588|5174.4
760|96429410580|1936.0
761|96426790588|4540.8
762|96426530588|4899.2
763|96422030583|4665.6
764|96421320589|4460.8
765|96418350581|3608.0
766|96417160585|4921.6
767|96416680583|4627.2
768|96413910587|3960.0
769|96406510584|4681.6
770|96396770586|2904.0
771|96396430587|4441.6
772|96390580585|4454.4
773|96384370589|4492.8
774|96376250583|3520.0
775|96376160584|4451.2
776|96373270584|4521.6
777|96368830582|5968.0
778|96365930583|5212.8
779|96352320582|4601.6
780|96345930588|5004.8
781|96333250585|5024.0
782|96331150589|4553.6
783|96329250581|4617.6
784|96313080580|5059.2
785|96311650582|5660.8
786|96281070589|4627.2
787|96266070588|4745.6
788|96264090588|4806.4
789|96260040587|4537.6
790|96249170588|4617.6
791|96247140583|5411.2
792|96246300584|4598.4
793|96245140585|5052.8
794|96239600586|5820.8
795|96228940589|5427.2
796|96218090585|5318.4
797|96210550586|4512.0
798|96189540584|4595.2
799|96189530585|4828.8
800|96180550582|4876.8
801|96179650583|5168.0
802|96174270585|5120.0
803|96159270584|5232.0
804|96158000586|5654.4
805|96145390587|4668.8
806|96145330583|4502.4
807|96141510584|4931.2
808|96141060580|2200.0
809|96132410588|4502.4
810|96120260581|2200.0
811|96115460584|4835.2
812|96112980584|4572.8
813|96112740228|4531.2
814|96112110588|2640.0
815|96108630581|4136.0
816|96107430223|1936.0
817|96103360580|4544.0
818|96100970043|4512.0
819|96093970760|4492.8
820|96092180767|4662.4
821|96091660223|5164.8
822|96089800765|5529.6
823|96087930762|2728.0
824|96084470762|2024.0
825|96083970226|4592.0
826|96080650763|4409.6
827|96080280769|2640.0
828|96075440766|2464.0
829|96073220764|4963.2
830|96072970765|4444.8
831|96072420761|4790.4
832|96072360769|4755.2
833|96072280181|7596.8
834|96065140764|4435.2
835|96065000588|4819.2
836|96064640582|4928.0
837|96064150046|4416.0
838|96061380067|4921.6
839|96060010061|4726.4
840|96059850048|4467.2
841|96058840065|4540.8
842|96055260184|4640.0
843|96055210064|5276.8
844|96051320768|4828.8
845|96051250064|4976.0
846|96050820065|4905.6
847|96050790060|4406.4
848|96049850041|5398.4
849|96049790791|4713.6
850|96048870040|4905.6
851|96048400582|4428.8
852|96047950793|4136.0
853|96047800048|4854.4
854|96047440068|4624.0
855|96047130784|2816.0
856|96045170782|4675.2
857|96045140793|4598.4
858|96044640793|4787.2
859|96044530762|5350.4
860|96043570785|4844.8
861|96043110780|4416.0
862|96042860781|4908.8
863|96041890045|3696.0
864|96041840792|4787.2
865|96041780790|2288.0
866|96041530799|4467.2
867|96041400175|4787.2
868|96040760637|4841.6
869|96039850639|4544.0
870|96039560170|4441.6
871|96039370042|4502.4
872|96038810188|5334.4
873|96038560189|5504.0
874|96038460786|4716.8
875|96038350631|2200.0
876|96038140636|3520.0
877|96037690797|3168.0
878|96037330170|4512.0
879|96037140785|4400.0
880|96035890639|4563.2
881|96035860798|4412.8
882|96035850781|4508.8
883|96035500634|4409.6
884|96034470011|2464.0
885|96034280170|4694.4
886|96034210060|4976.0
887|96034020634|5641.6
888|96034010064|4489.6
889|96033800630|2552.0
890|96033240787|4819.2
891|96033170638|5049.6
892|96033080043|4723.2
893|96032970632|4467.2
894|96032620799|1848.0
895|96032480632|4582.4
896|96032100636|5049.6
897|96031580820|4457.6
898|96031480583|4880.0
899|96031180639|4873.6
900|96030860769|4502.4
901|96030850638|5030.4
902|96030320764|5187.2
903|96030240012|2024.0
904|96030230823|5113.6
905|96029980826|4312.0
906|96029390828|3696.0
907|96028990040|2728.0
908|96028090825|4400.0
909|96027690823|4739.2
910|96027600764|5449.6
911|96027030046|5449.6
912|96026890820|4918.4
913|96026880821|4582.4
914|96026580785|4662.4
915|96025990183|5126.4
916|96025820018|3168.0
917|96024080796|4588.8
918|96023540824|4432.0
919|96023500786|4460.8
920|96023280637|2552.0
921|96022940785|4550.4
922|96021990633|4409.6
923|96020830046|4870.4
924|96020700637|4624.0
925|96017360221|1848.0
926|96016670638|4854.4
927|96015700782|4048.0
928|96013800824|4579.2
929|96013020837|4611.2
930|96011730049|5123.2
931|96011550835|5555.2
932|96009810175|2728.0
933|96009320761|4921.6
934|96007800632|4652.8
935|96007530833|2376.0
936|96005710825|4312.0
937|96004130827|4758.4
938|96004070833|5075.2
939|96003980065|4448.0
940|96003420831|3432.0
941|96001540820|4444.8
942|96000780047|5590.4
943|96000390185|5680.0
944|95645570011|4508.8
945|95642400014|4592.0
946|95640670014|2640.0
947|95636060014|9280.0
948|95629100017|4646.4
949|95628260010|4649.6
950|95625790019|4566.4
951|95624570016|4684.8
952|95622440014|6044.8
953|95622380012|4880.0
954|95621430016|5382.4
955|95620490011|4582.4
956|95617250014|1848.0
957|95616900015|4588.8
958|95615730017|4467.2
959|95615230018|3168.0
960|95608910014|5302.4
961|95607410016|5452.8
962|95602550014|5497.6
963|95602020018|5148.8
964|95599590015|4953.6
965|95591440011|4224.0
966|95579520016|5084.8
967|95578410011|4448.0
968|95577890015|2288.0
969|95572490019|5043.2
970|95563230010|5408.0
971|95560170011|5193.6
972|95556450013|4579.2
973|95527890016|4883.2
974|95524800018|4937.6
975|95524670015|5875.2
976|95520430018|5404.8
977|95520060013|5756.8
978|95513340018|5161.6
979|95506660018|4483.2
980|95502080013|5849.6
981|95500200019|4508.8
982|95319850632|4480.0
983|95319460630|4707.2
984|95313520637|4502.4
985|95312250632|4416.0
986|95311760631|4524.8
987|95302290630|4048.0
988|95299710632|4441.6
989|95295050637|2552.0
990|95289620635|4412.8
991|95289590630|1848.0
992|95289400632|4136.0
993|95288970635|5372.8
994|95288790637|1760.0
995|95286680632|2816.0
996|95278650635|4435.2
997|95278150636|5411.2
998|95277970638|4502.4
999|95277600631|5132.8
1000|95277280632|4544.0
1001|95275260636|4992.0
1002|95275120632|4979.2
1003|95274030634|4432.0
1004|95270280639|4467.2
1005|95267610632|2904.0
1006|95265540633|4486.4
1007|95265440636|2200.0
1008|95265050633|2288.0
1009|95264770637|4432.0
1010|95264150632|1848.0
1011|95262190630|4931.2
1012|95260160635|4451.2
1013|95259250637|2112.0
1014|95258900638|4924.8
1015|95256970633|2640.0
1016|95255760639|4467.2
1017|95250870631|4419.2
1018|95249260639|4419.2
1019|95249020637|4761.6
1020|95248370165|4636.8
1021|95244520631|4448.0
1022|95243700168|4409.6
1023|95242730638|2464.0
1024|95242290633|4425.6
1025|95241050632|4454.4
1026|95236180634|4419.2
1027|95236090106|2200.0
1028|95236030102|4953.6
1029|95235090636|4499.2
1030|95234670636|4566.4
1031|95234660637|4924.8
1032|95234570638|4470.4
1033|95234400638|4432.0
1034|95233240100|4700.8
1035|95231670167|4432.0
1036|95230710162|7177.6
1037|95230670630|3872.0
1038|95229440102|4841.6
1039|95228680104|3696.0
1040|95227650637|4633.6
1041|95226340636|4451.2
1042|95224930636|2376.0
1043|95224830638|2552.0
1044|95223730631|4716.8
1045|95221140635|4448.0
1046|95221110638|4521.6
1047|95220140107|4627.2
1048|95219880168|5545.6
1049|95218800639|4873.6
1050|95217790633|4502.4
1051|95215450107|5510.4
1052|95213900103|4688.0
1053|95210580635|5168.0
1054|95209910637|3696.0
1055|95207890104|4915.2
1056|95207740101|4636.8
1057|95206780108|5244.8
1058|95206520108|4460.8
1059|95205560162|4697.6
1060|95202930103|4876.8
1061|95202580635|5078.4
1062|95199840109|4700.8
1063|95199760109|4716.8
1064|95198640104|4976.0
1065|95195470638|4592.0
1066|95195100102|4524.8
1067|95194670659|2200.0
1068|95194170106|4604.8
1069|95194130654|4480.0
1070|95193800638|4457.6
1071|95193610102|4403.2
1072|95192610632|4454.4
1073|95192320638|5993.6
1074|95191880103|4640.0
1075|95191210103|4819.2
1076|95191040104|5289.6
1077|95190840108|4982.4
1078|95190570630|5363.2
1079|95190120634|4531.2
1080|95189010630|4312.0
1081|95188530109|4528.0
1082|95187260633|4508.8
1083|95186770657|4512.0
1084|95186610655|4419.2
1085|95186350161|5788.8
1086|95186250106|2904.0
1087|95186190633|4409.6
1088|95185730652|4624.0
1089|95184520104|4476.8
1090|95184480630|5164.8
1091|95184020659|2992.0
1092|95183660109|4700.8
1093|95183650654|1848.0
1094|95183460633|4409.6
1095|95183290634|5171.2
1096|95183200658|2728.0
1097|95183060631|2640.0
1098|95182530634|4566.4
1099|95182150656|3520.0
1100|95181990631|4499.2
1101|95181580630|4544.0
1102|95181250655|4432.0
1103|95180570632|4312.0
1104|95180220659|2200.0
1105|95178680658|4502.4
1106|95178520169|4681.6
1107|95178120101|4406.4
1108|95176860633|5299.2
1109|95176550655|3168.0
1110|95176520633|6880.0
1111|95176430106|4515.2
1112|95175980168|4844.8
1113|95175650654|3696.0
1114|95175380658|4473.6
1115|95175130657|4432.0
1116|95175100650|3432.0
1117|95174780106|4934.4
1118|95172530636|4489.6
1119|95171980659|4470.4
1120|95171700107|4409.6
1121|95170730659|4444.8
1122|95170490650|5040.0
1123|95169020658|3344.0
1124|95168330652|5833.6
1125|95168110658|4668.8
1126|95167030634|6172.8
1127|95166490102|6220.8
1128|95163700651|4496.0
1129|95162130652|1760.0
1130|95161560107|4995.2
1131|95161170634|4425.6
1132|95158960658|4048.0
1133|95158940635|4524.8
1134|95157410630|4416.0
1135|95156720161|4768.0
1136|95154110654|5152.0
1137|95152180105|4656.0
1138|95151200656|4595.2
1139|95150650109|5004.8
1140|95150330108|5801.6
1141|95150030161|4550.4
1142|95148810658|4406.4
1143|95147250245|4688.0
1144|95145930103|2992.0
1145|95145030169|5798.4
1146|95143730653|3168.0
1147|95141600635|2376.0
1148|95140070137|4716.8
1149|95138430632|5849.6
1150|95137800637|4620.8
